Code Back office;Fabricant;Pression;Classes de feu;Modèle;Charge;Gamme associée au fabricant;Code article EBP;
FAB;65 - Eurofeu;PA;AB;Eau + Additif; 6 Litres;Spit;132;
FAB;65 - Eurofeu;PA;AB;Eau + Additif; 9 Litres;Spit;137;
FAB;65 - Eurofeu;PA;A;Eau; 6 Litres;Spit;013100;
FAB;65 - Eurofeu;PA;A;Eau; 9 Litres;Spit;013600;
FAB;65 - Eurofeu;PA;AB;Eau + Additif + Antigel; 6 Litres;Spit;001350;
FAB;65 - Eurofeu;PA;AB;Eau + Additif + Antigel; 9 Litres;Spit;001390;
FAB;65 - Eurofeu;PP;ABF;Eau + Additif + Ecologique;3 Litres;Spit;;
FAB;65 - Eurofeu;PA;ABF;Eau + Additif + Ecologique; 6 Litres;Spit;1340;
FAB;65 - Eurofeu;PA;ABF;Eau + Additif + Ecologique; 9 Litres;Spit;140;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC; 6 Kilos;Spit;112;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC; 9 Kilos;Spit;115;
FAB;65 - Eurofeu;PA;B;CO2 Aluminium; 2 Kilos;Spit;151;
FAB;65 - Eurofeu;PA;B;CO2 Aluminium; 5 Kilos;Spit;154;
FAB;65 - Eurofeu;PA;B;CO2 Aluminum; 2 Kilos;Echange standard CO2;152;
FAB;65 - Eurofeu;PA;B;CO2 Aluminum; 5 Kilos;Echange standard CO2;155;
FAB;65 - Eurofeu;PA;B;CO2 Acier; 2 Kilos;Echange standard CO2;152;
FAB;65 - Eurofeu;PA;B;CO2 Acier; 5 Kilos;Echange standard CO2;155;
FAB;65 - Eurofeu;PP;A;Eau + Additif + LITH-EX;500ml;Lith-Ex;141;
FAB;65 - Eurofeu;PP;A;Eau + Additif + LITH-EX;1 Litres;Lith-Ex;142;
FAB;65 - Eurofeu;PP;A;Eau + Additif + LITH-EX;2 Litres;Lith-Ex;143;
FAB;65 - Eurofeu;PP;A;Eau + Additif + LITH-EX;6 Litres;Lith-Ex;145;
FAB;65 - Eurofeu;PP;A;Eau + Additif + LITH-EX;9 Litres;Lith-Ex;149;
FAB;65 - Eurofeu;PA;A;Eau + Additif + LITH-EX;25 Litres;Lith-Ex;Nul;
FAB;65 - Eurofeu;PA;A;Eau + Additif + LITH-EX;50 Litres;Lith-Ex;150;
FAB;65 - Eurofeu;PA;A;Eau + Additif + LITH-EX;100 Litres;Lith-Ex;Nul;
FAB;65 - Eurofeu;PA;A;Eau;6 Litres;Afrex;;
FAB;65 - Eurofeu;PA;A;Eau;9 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif;6 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif;9 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif Hautes performances;6 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif Hautes performances;9 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif + Antigel;6 Litres;Afrex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif + Antigel;9 Litres;Afrex;;
FAB;65 - Eurofeu;PP;ABF;Eau + Additif Ecologique;3 Litres;Afrex;;
FAB;65 - Eurofeu;PA;ABF;Eau + Additif Ecologique;6 Litres;Afrex;;
FAB;65 - Eurofeu;PA;ABF;Eau + Additif Ecologique;9 Litres;Afrex;;
FAB;65 - Eurofeu;PP;B;CO2;2 Kilos;Afrex;;
FAB;65 - Eurofeu;PP;B;CO2;5 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;1 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;2 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;4 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;6 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;9 Kilos;Afrex;;
FAB;65 - Eurofeu;PA;A;Eau;6 Litres;Arex;;
FAB;65 - Eurofeu;PA;A;Eau;9 Litres;Arex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif;6 Litres;Arex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif;9 Litres;Arex;;
FAB;65 - Eurofeu;PP;B;CO2;2 Kilos;Arex;;
FAB;65 - Eurofeu;PP;B;CO2;5 Kilos;Arex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;6 Kilos;Arex;;
FAB;65 - Eurofeu;PA;ABC;Poudre ABC;9 Kilos;Arex;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif; 6 Litres;Eurofeu;;
FAB;65 - Eurofeu;PA;AB;Eau + Additif; 9 Litres;Eurofeu;;
FAB;65 - Eurofeu;PP;AB;Eau + Additif ;6 Litres;Eurofeu;;
